question_id,type,mean_score
0,testing,-0.09955920203257415
1,testing,-0.1445522863888046
2,testing,-0.13461940408610612
3,testing,-0.1416873023623512
4,testing,-0.1778296995698736
5,testing,-0.17979595098602638
6,testing,-0.1353091969209559
7,testing,-0.13214914422286184
8,testing,-0.1754598414644282
9,testing,-0.12985706329345703
10,testing,-0.16031713393128033
11,testing,-0.11357693481445312
12,testing,-0.1362340109688895
13,testing,-0.14671186967329544
14,testing,-0.12507289288991905
15,testing,-0.1392899550400771
16,testing,-0.12796371284572558
17,testing,-0.13184372922207446
18,testing,-0.15152570113395025
19,testing,-0.13572675332255746
20,testing,-0.16237535663679534
21,testing,-0.17678749330582158
22,testing,-0.16377408387231046
23,testing,-0.12678156400981702
24,testing,-0.11869895241477273
25,testing,-0.14701138200431035
26,testing,-0.15782514824924698
27,testing,-0.11961614674535291
28,testing,-0.15047257034866898
29,testing,-0.13369775069387335
30,testing,-0.11895243326822917
31,testing,-0.09842347262198464
32,testing,-0.11006892004678416
33,testing,-0.15064180814302885
34,testing,-0.13586203025205293
35,testing,-0.16060372095487044
36,testing,-0.14177264985005567
37,testing,-0.16826061165851094
38,testing,-0.13327380864307134
39,testing,-0.13918609619140626
40,testing,-0.12746384564568014
41,testing,-0.1183434430290671
42,testing,-0.12749187762920672
43,testing,-0.1580657958984375
44,testing,-0.18886657330974843
45,testing,-0.10539160834418403
46,testing,-0.13784027099609375
47,testing,-0.19178076311814513
48,testing,-0.12300724178165584
49,testing,-0.13834267474235373
50,testing,-0.11469523111979167
51,testing,-0.12863051470588235
52,testing,-0.1383023943219866
53,testing,-0.13068513788728633
54,testing,-0.12999655983664773
55,testing,-0.1660439781020105
56,testing,-0.1840530708011261
57,testing,-0.12227457682291666
58,testing,-0.10754456812021684
59,testing,-0.16180238201843566
60,testing,-0.13174792303555255
61,testing,-0.09417778148985746
62,testing,-0.1396991684142337
63,testing,-0.1309783935546875
64,testing,-0.1323100949121901
65,testing,-0.10052283426436286
66,testing,-0.11098410866477272
67,testing,-0.17381589099614306
68,testing,-0.15451824854290674
69,testing,-0.12733096168154762
70,testing,-0.15940896640479787
71,testing,-0.14535655146059784
72,testing,-0.12106895446777344
73,testing,-0.17544441993790444
74,testing,-0.15895952439123345
75,testing,-0.11919061068830819
76,testing,-0.16653950500488282
77,testing,-0.1338460038347942
78,testing,-0.1116927010672433
79,testing,-0.16758136328809964
80,testing,-0.17271313098592495
81,testing,-0.13826249285442074
82,testing,-0.1333026123046875
83,testing,-0.13918533325195312
84,testing,-0.12800894210587688
85,testing,-0.14991009208832126
86,testing,-0.11209344098912204
87,testing,-0.1199567071322737
88,testing,-0.14730465709102536
89,testing,-0.18149436453578188
90,testing,-0.10741941390498992
91,testing,-0.13752968366755997
92,testing,-0.14168367680815078
93,testing,-0.1340336519129136
94,testing,-0.14617657405073925
95,testing,-0.10110261168660997
96,testing,-0.11562588810920715
97,testing,-0.11364939856150794
98,testing,-0.1701139450073242
99,testing,-0.11993061412464488
100,testing,-0.16550733222336064
101,testing,-0.13354820333501344
102,testing,-0.11696808913658405
103,testing,-0.10108155012130737
104,testing,-0.1874614629764986
105,testing,-0.15280844948508523
106,testing,-0.1465317031084481
107,testing,-0.14432872425426135
108,testing,-0.12348987210181452
109,testing,-0.14116985041920732
110,testing,-0.13187139601934525
111,testing,-0.13331315324113174
112,testing,-0.1368580353565705
113,testing,-0.18650804681980865
114,testing,-0.12030029296875
115,testing,-0.13954781197212837
116,testing,-0.16817637852260045
117,testing,-0.12609613137167008
118,testing,-0.11493548224954044
119,testing,-0.10116436837733477
120,testing,-0.1286383037325702
121,testing,-0.12489164140489366
122,testing,-0.14198618340042402
123,testing,-0.1403892203553082
124,testing,-0.1451184724506579
125,testing,-0.1433348222212358
126,testing,-0.11487978980654762
127,testing,-0.17343168768263956
128,testing,-0.14868867348251028
129,testing,-0.13287023595861486
130,testing,-0.14467620849609375
131,testing,-0.1647662353515625
132,testing,-0.1194305419921875
133,testing,-0.12403612012987013
134,testing,-0.1666872622287785
135,testing,-0.1258582546286387
136,testing,-0.1554028619195997
137,testing,-0.17085462856642056
138,testing,-0.15540554098886986
139,testing,-0.1562429415125425
140,testing,-0.13432676141912286
141,testing,-0.11501415355785473
142,testing,-0.16667569706777852
143,testing,-0.11619627320921266
144,testing,-0.12448218560987903
145,testing,-0.14689004300820707
146,testing,-0.17793478797736464
147,testing,-0.119384765625
148,testing,-0.14797556023848685
149,testing,-0.15962176053029187
150,testing,-0.1405459317294034
151,testing,-0.11393590127268145
152,testing,-0.1219789033295006
153,testing,-0.1358201360128012
154,testing,-0.13986033778036794
155,testing,-0.08164880825923039
156,testing,-0.13353919982910156
157,testing,-0.1010891783471201
158,testing,-0.1509614537973873
159,testing,-0.13202308205997243
160,testing,-0.13581548312294808
161,testing,-0.19394940616681636
162,testing,-0.12018961588541667
163,testing,-0.143841552734375
164,testing,-0.1738206001177226
165,testing,-0.140606689453125
166,testing,-0.16562668372844827
167,testing,-0.1589030179401372
168,testing,-0.11988784327651515
169,testing,-0.1672416355298913
170,testing,-0.1281661323879076
171,testing,-0.1167724609375
172,testing,-0.12889205577761628
173,testing,-0.10848979206828328
174,testing,-0.1114580877896013
175,testing,-0.15653164172298695
176,testing,-0.15279207772355738
177,testing,-0.1259056297508446
178,testing,-0.14417599409054488
179,testing,-0.16613904400962684
180,testing,-0.14666086219879518
181,testing,-0.14074508003566577
182,testing,-0.18161106209063804
183,testing,-0.12239234127215486
184,testing,-0.14453478361430921
185,testing,-0.13495761533326742
186,testing,-0.13152165199393656
187,testing,-0.12393751422178398
188,testing,-0.128360667127244
189,testing,-0.12399765540813577
190,testing,-0.0952430581146816
191,testing,-0.12042483767947636
192,testing,-0.11748540969122023
193,testing,-0.17401625893332742
194,testing,-0.13784586588541667
195,testing,-0.1259483924278846
196,testing,-0.1715205799449574
197,testing,-0.1417210896809896
198,testing,-0.1312834930419922
199,testing,-0.15060478659237134
200,deployment,-0.14097840445382254
201,deployment,-0.11909422155928938
202,deployment,-0.1183500501844618
203,deployment,-0.13258192274305555
204,deployment,-0.17503454925817089
205,deployment,-0.11512822690217392
206,deployment,-0.13873259554204254
207,deployment,-0.16767865988585326
208,deployment,-0.14924137766768292
209,deployment,-0.17844687796927788
210,deployment,-0.11006832452793848
211,deployment,-0.13486099243164062
