question_id,type,mean_score
0,testing,28791.78181818182
1,testing,22738.3
2,testing,21700.644927536232
3,testing,25323.675
4,testing,20145.783333333333
5,testing,14004.091292134832
6,testing,24524.170731707316
7,testing,23724.239130434784
8,testing,15784.336363636363
9,testing,27908.819672131147
10,testing,23588.0206185567
11,testing,22233.708661417324
12,testing,24723.19512195122
13,testing,24098.329411764706
14,testing,25302.819277108432
15,testing,25731.108108108107
16,testing,24043.119047619046
17,testing,23974.8
18,testing,22816.38
19,testing,24140.64285714286
20,testing,24269.28846153846
21,testing,17574.170568561873
22,testing,22142.70588235294
23,testing,21530.673076923078
24,testing,29090.384615384617
25,testing,20889.05072463768
26,testing,24183.975903614457
27,testing,28516.0
28,testing,22603.942857142858
29,testing,24464.924731182797
30,testing,26179.333333333332
31,testing,28314.0
32,testing,25203.04651162791
33,testing,23460.13725490196
34,testing,20723.297872340427
35,testing,14845.267285861713
36,testing,20578.8417721519
37,testing,17489.16590909091
38,testing,24171.465346534653
39,testing,25135.03896103896
40,testing,26651.169230769232
41,testing,25040.45238095238
42,testing,24660.986666666668
43,testing,22713.302752293577
44,testing,13691.227060653187
45,testing,26524.885714285716
46,testing,25106.77922077922
47,testing,13529.391084945331
48,testing,25575.095890410958
49,testing,23330.817204301075
50,testing,25641.466666666667
51,testing,23971.585365853658
52,testing,22420.89908256881
53,testing,23026.17699115044
54,testing,26771.904761904763
55,testing,16926.779193205944
56,testing,14178.91935483871
57,testing,25946.305555555555
58,testing,31511.37777777778
59,testing,17213.46153846154
60,testing,26476.507462686568
61,testing,28148.074074074073
62,testing,16125.342412451362
63,testing,25186.184210526317
64,testing,16756.004310344826
65,testing,24268.927835051545
66,testing,29200.830188679247
67,testing,17503.027548209368
68,testing,22859.24427480916
69,testing,27990.338983050846
70,testing,17381.558935361216
71,testing,23726.045977011494
72,testing,27455.566666666666
73,testing,17463.18181818182
74,testing,10414.732373009856
75,testing,28344.945454545454
76,testing,16943.597046413503
77,testing,24108.170731707316
78,testing,29153.735849056604
79,testing,16889.3044397463
80,testing,12273.892424242424
81,testing,25061.275
82,testing,22819.0
83,testing,24619.135802469136
84,testing,26828.4
85,testing,17061.397228637412
86,testing,16922.30166270784
87,testing,28886.036363636365
88,testing,16349.305660377358
89,testing,9060.948603351955
90,testing,28211.627118644068
91,testing,19899.168604651164
92,testing,23762.865979381444
93,testing,26502.298507462685
94,testing,24132.537634408603
95,testing,20970.229166666668
96,testing,26897.129032258064
97,testing,27618.766666666666
98,testing,13766.467502850626
99,testing,27181.301587301587
100,testing,22832.339285714286
101,testing,24389.85106382979
102,testing,28379.35714285714
103,testing,26964.55737704918
104,testing,12334.74647887324
105,testing,24648.627906976744
106,testing,21584.453781512606
107,testing,23959.241379310344
108,testing,27626.949152542373
109,testing,24234.607594936708
110,testing,22860.796296296296
111,testing,25795.972972972973
112,testing,22769.04424778761
113,testing,14230.883910386965
114,testing,28039.655172413793
115,testing,22275.284403669724
116,testing,17529.14935064935
117,testing,28204.842105263157
118,testing,25830.0
119,testing,24235.340909090908
120,testing,25266.49315068493
121,testing,23609.35802469136
122,testing,21366.62
123,testing,25910.485714285714
124,testing,23487.01098901099
125,testing,24520.065217391304
126,testing,27770.13559322034
127,testing,17532.797222222223
128,testing,16303.168032786885
129,testing,26147.194444444445
130,testing,24009.157894736843
131,testing,24166.52525252525
132,testing,28862.763636363637
133,testing,24879.216216216217
134,testing,14672.376640419947
135,testing,26184.647887323943
136,testing,19389.683937823833
137,testing,14122.719881744271
138,testing,26201.22857142857
139,testing,20912.664383561645
140,testing,20772.6797752809
141,testing,25678.957746478874
142,testing,16869.324210526316
143,testing,25917.973684210527
144,testing,27548.366666666665
145,testing,23334.918367346938
146,testing,15159.179802955665
147,testing,29204.45283018868
148,testing,23745.108695652172
149,testing,22496.056074766355
150,testing,25130.60975609756
151,testing,27675.51724137931
152,testing,23893.03448275862
153,testing,24532.222222222223
154,testing,16340.467811158798
155,testing,23105.030303030304
156,testing,27727.064516129034
